corpus,zipf_a,filler_n,seed,beta,beta_ideal_same_range,beta_predicted,n_points,docs_min,docs_max
Z05_n0,0.5,0,1,0.24604561777268003,0.3605178525643014,0.3333333333333333,12,29952,10000000
Z05_n0,0.5,0,2,0.2435078452079113,0.3605178525643014,0.3333333333333333,12,29952,10000000
Z05_n0,0.5,0,3,0.3407790744615285,0.34734666933559327,0.3333333333333333,6,29952,420608
Z05_n64,0.5,64,1,0.293698511345324,0.3574896766021475,0.3333333333333333,11,29952,5897216
Z05_n64,0.5,64,2,0.2994174832203469,0.3574896766021475,0.3333333333333333,11,29952,5897216
Z05_n64,0.5,64,3,0.42021509884823227,0.34599708195130674,0.3333333333333333,5,29952,248064
Z10_n0,1.0,0,1,0.48819748936797686,0.5001292878740772,0.5,5,29952,248064
Z10_n0,1.0,0,2,0.49484081181983985,0.5001292878740772,0.5,5,29952,248064
Z10_n0,1.0,0,3,0.4798512481887863,0.5001292878740772,0.5,5,29952,248064
Z10_n64,1.0,64,1,0.5696349030692252,0.5001520691121093,0.5,6,29952,420608
Z10_n64,1.0,64,2,0.5270734298592958,0.5001520691121093,0.5,6,29952,420608
