corpus,seed,docs,bits_delivered,bits_stored,ratio_stored_over_delivered
EQ4_n16,3,4000000,12000000,310.3125,2.5859375e-05
EQ4_n16,2,4000000,12000000,142.3125,1.1859375e-05
EQ4_n16,1,4000000,12000000,22.3125,1.859375e-06
Z10_n64,3,10000000,52320,4547.2265625,0.0869118226777523
Z10_n64,2,10000000,52860,4511.0947265625,0.08534042237159478
Z05_n0,2,10000000,696864,43293.8671875,0.06212670935433599
Z10_n64,1,10000000,52416,4415.203125,0.08423388135302198
Z05_n0,1,10000000,696276,41962.0107421875,0.06026634659558494
Z10_n0,1,10000000,51948,5147.3173828125,0.09908595870509933
Z10_n0,2,10000000,52704,5039.1328125,0.09561196137864299
Z10_n0,3,10000000,53256,5158.998046875,0.09687167731100721
Z05_n64,3,10000000,699468,39465.2314453125,0.05642178261952298
Z05_n64,2,10000000,696180,39130.0341796875,0.05620677724106912
Z05_n0,3,10000000,695088,43306.30078125,0.06230333537803846
Z05_n64,1,10000000,696240,39526.01953125,0.056770681850008615
EQ16_n64,1,16000000,12000000,2062.3125,0.000171859375
EQ16_n0,2,16000000,12000000,346.3125,2.8859375e-05
EQ16_n64,2,16000000,12000000,706.3125,5.8859375e-05
EQ16_n0,1,16000000,12000000,346.3125,2.8859375e-05
EQ32_n0,2,32000000,12000000,190.3125,1.5859375e-05
EQ32_n0,1,32000000,12000000,886.3125,7.3859375e-05
