corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown
EQ4_n16,,16,1,0.0003,29952,840220,29598,355176,12.14892479156971,11.644592803359991,4.77392578125,57.287109375,1618.6213444087025,0.00015,5.108044147491455,4.007062196731567,4d99018688fa,063d508665bc,12.174950353565215,12.15209958577156,0.0004054327995134,1
EQ4_n16,,16,1,0.0003,50816,1425461,49868,598416,12.169817146143911,11.40172987353551,9.8251953125,117.90234375,2147.3158962270736,0.00025,5.130234241485596,7.670402526855469,4d99018688fa,063d508665bc,12.197218127355576,12.17563362956047,0.0004411646747413,1
EQ4_n16,,16,1,0.0003,86272,2419988,83529,1002348,12.150216071224213,10.997749511296382,7.607177734375,91.2861328125,2572.9957187284017,0.0003,5.1070427894592285,13.126967906951904,4d99018688fa,063d508665bc,12.192744712715148,12.166332176399232,0.0003352129200636,1
EQ4_n16,,16,1,0.0003,146304,4102987,138513,1662156,12.168978407082555,10.338346047238574,8.183349609375,98.2001953125,2541.58682042022,0.0003,5.1308135986328125,21.491241693496704,4d99018688fa,063d508665bc,12.267039494366646,12.176376613807678,0.0003032206363301,1
EQ4_n16,,16,1,0.0003,248064,6956893,226022,2712264,12.069901702909467,9.288870841490215,7.81884765625,93.826171875,3080.4109916197776,5e-05,5.081396579742432,34.70138669013977,4d99018688fa,063d508665bc,12.233718194408416,12.07668638677597,0.0002787339285556,1
EQ4_n16,,16,1,0.0003,420608,11796795,358723,4304676,12.055824462342262,7.694461954431807,4.421142578125,53.0537109375,4157.069185120483,0.0001,5.0694990158081055,56.08460354804993,4d99018688fa,063d508665bc,12.220139236454964,12.067382089662551,0.000256465294949,1
EQ4_n16,,16,1,0.0003,713216,20004215,543957,6527484,12.050148685412408,5.470484553005797,28.197998046875,338.3759765625,5100.084074116661,0.0002,5.060319900512695,90.96808743476868,4d99018688fa,063d508665bc,12.21148878841877,12.060983514547347,0.0002959792777737,1
EQ4_n16,,16,1,0.0003,1209472,33921874,763448,9161376,12.034282339835167,2.8424087842032657,38.611328125,463.3359375,4381.499899893955,0.00035,5.090175151824951,141.04415917396545,4d99018688fa,063d508665bc,12.20579339688778,12.04146080698967,0.000294715553646,1
EQ4_n16,,16,1,0.0003,2050944,57521504,943705,11324460,12.029582014350892,0.676453370089572,32.603271484375,391.2392578125,6588.765340200655,0.0002,5.083497524261475,219.43695092201236,4d99018688fa,063d508665bc,12.200303993816377,12.043785673046113,0.0002786887851606,1
EQ4_n16,,16,1,0.0003,3477760,97539283,999706,11996472,12.026764459762571,0.0034867232164664,35.93115234375,431.173828125,-13986.479367794627,0.0,5.072851181030273,348.0227258205414,4d99018688fa,063d508665bc,12.177116039791107,11.997007515965675,0.0002800823442091,1
EQ4_n16,,16,1,0.0003,4000000,112186180,1000000,12000000,12.024485394482612,0.0,1.859375,22.3125,,,5.07139253616333,419.8311984539032,4d99018688fa,063d508665bc,12.177272406396868,,0.000246,1
EQ4_n16,,16,2,0.0003,29952,840413,29612,355344,12.156313138871193,11.644592803359991,7.7705078125,93.24609375,1407.563656963921,0.00025,5.107424259185791,4.194162368774414,4d99018688fa,32fc9e17ea83,12.180803189964294,12.153322107076646,0.0005065513980818,1
EQ4_n16,,16,2,0.0003,50816,1425518,49847,598164,12.163577128887177,11.40172987353551,3.830322265625,45.9638671875,1973.8474457883367,0.0001,5.1117262840271,7.740675449371338,4d99018688fa,32fc9e17ea83,12.189801527953149,12.167665465593338,0.0003209822055489,1
EQ4_n16,,16,2,0.0003,86272,2420185,83487,1001844,12.158737175760267,10.997749511296382,4.617431640625,55.4091796875,2452.026285636952,0.0003,5.110246658325195,13.217419862747192,4d99018688fa,32fc9e17ea83,12.196438705272676,12.177360775995254,0.0002994478182231,1
